unified_est_id,est_name,address,classification
10855886.0,ABOL ESPRESSO  BAR,1432 DANFORTH AVE None M4J 1N4,likely_restaurant
10811845.0,ABOUT YOU CAKE STUDIO,"3272 MIDLAND AVE, Unit-B110 None M1V 0C7",ambiguous
10795275.0,ABRIELLE,355 King St W None M5V 1J6,ambiguous
10815969.0,ABURI SUSHI TORONTO,505 Richmond St W Unit-K10-11 M5V 1Y3,likely_restaurant
10805250.0,ACADEMY PLACE TUCK SHOP,2101 ISLINGTON AVE None M9P 3R2,likely_not_restaurant
10771847.0,ACADÉMIE ALEXANDRE-DUMAS - SNP,"255 CORONATION DR, Rm-124 None M1E 2J3",ambiguous
10787839.0,ACAI BRAZIL,2039 Yonge St None M4S 2A2,ambiguous
10801642.0,ACE GOLF BAR & LOUNGE,588 Eastern Ave Unit-C M4M 1E1,likely_restaurant
10845976.0,ACKEE TREE DYNAMITE JAMAICAN JERK,205 Humber College Blvd None M9W 5L7,ambiguous
10790600.0,ACORN CHOCOLATES - QE 530 - CNE 2024,180 PRINCES BLVD None M6K 3C3,ambiguous
10786265.0,ACROPOLIS GYRO CORNER,1004 Kingston Rd None M4E 1T2,ambiguous
10325289.0,ACTION PHARMACY,2425 BLOOR ST W None M6S 4W4,likely_not_restaurant
10778690.0,ACUTE PIZZERIA,1745 Dundas St W None M6K 1V4,likely_restaurant
10864160.0,ADAM BECK JR PS -SNP,400 Scarborough Rd None M4E 3M8,ambiguous
10853157.0,ADANA KEBAB,1960 Lawrence Ave E Unit-11 M1R 2Z1,likely_restaurant
10777981.0,ADDA,3342 Danforth Ave Unit-01 M1L 1C8,ambiguous
10825330.0,ADI BIRKRAMPUR SWEETS & FAST FOOD,2968 Danforth Ave None M4C 1M6,ambiguous
10807407.0,ADOBO FRESH BURRITO,4205 Keele St Unit-19 M3J 3T8,ambiguous
10837930.0,ADOBO FRESH BURRITO MEXICAN GRILL,16 Richardson St Unit-3 M5A 4J9,likely_restaurant
10841873.0,ADOBO FRESH BURRITOS,388 Richmond St W Unit-5A M5V 3P1,ambiguous
10798337.0,AERA,8 Spadina Ave Unit-3800 M5V 2H6,ambiguous
10816689.0,AESET COFFEE,24 Bellair St Unit-6 M5R 2C7,likely_restaurant
10857917.0,AFC ZENSHI @ SOBEYS #4728,1015 Broadview Ave None M4K 2S1,likely_not_restaurant
10785767.0,AFFINITY FISH,1581 Dundas St W None M6K 1T9,ambiguous
10829666.0,AFGHAN BBQ & PIZZA,4379 Kingston Rd Unit-4 M1E 2M9,likely_restaurant
10841151.0,AFGHAN GRILL EXPRESS,4800 Sheppard Ave E Unit-123 M1S 4N5,likely_restaurant
10799488.0,AFIYET SHAWARMA,1054 Finch Ave W None M3J 2E2,likely_restaurant
10759107.0,AFRICA MART,651 Mccowan Rd None M1J 1K2,likely_not_restaurant
10843492.0,AFRICA MART,3428 Weston Rd None M9M 2W1,likely_not_restaurant
10847673.0,AFRICAN FRESHNESS SUPERSTORE,"2500 LAWRENCE AVE E, Unit-1 None M1P 2R7",ambiguous
10793090.0,AFRO'S PIZZA,107 Mutual St None M5B 2B2,likely_restaurant
10850347.0,AFURI RAMEN + DUMPLING,411 CHURCH ST None M4Y 2C2,likely_restaurant
10823192.0,AG RESTAURANT,2883 Jane St None M3N 2J5,likely_restaurant
10773112.0,AGA BABA DONER,556 CHURCH ST None M4Y 2E3,ambiguous
10699563.0,AGA VARIETY,2090 DANFORTH AVE None M4C 1J9,likely_not_restaurant
10854330.0,AGAK AGAK,253 GERRARD ST E None M5A 2G1,ambiguous
10794166.0,AGE CARE WESTBURY,495 The West Mall Rm-119 M9C 5S3,ambiguous
10801787.0,AGE CARE WESTBURY,495 The West Mall None M9C 5S3,ambiguous
10792637.0,AGECARE TRILOGY KITCHEN,340 Mccowan Rd None M1J 3P4,likely_restaurant
10863319.0,AGINCOURT COLLEGIATE STUDENT NUTRITION PROGRAM,2621 Midland Ave None M1S 1R6,likely_not_restaurant
10844574.0,AGRARIAN KITCHEN,26 Logan Ave Unit-A M4M 2M8,likely_restaurant
10832499.0,AH SO,147 LAIRD DR None M4G 4K1,ambiguous
10801772.0,AH-SO SUSHI,100 Queens Quay  E Unit-200 M5E 1Y3,likely_restaurant
10815177.0,AH-SO SUSHI,29 Bathurst St Unit-1 M5V 0L8,likely_restaurant
10863242.0,AHC ACADEMY,270 Yorkland Blvd None M2J 5C9,likely_not_restaurant
10796992.0,AIFAM,102 Harbord St None M5S 1G6,ambiguous
10781363.0,AIGOO FOODMART,2625 Weston Rd Unit-D0021 M9N 3W2,ambiguous
10827065.0,AIMANT POUR LES FEMMES,415 Queens Quay  W None None,ambiguous
10820408.0,AIP SEAFOOD COMPANY,2195 MCNICOLL AVE None M1V 5P3,ambiguous
10824838.0,AISLE 24 MARKET,85 SILVER SPRINGS BLVD None M1V 1W3,ambiguous
10826856.0,AISLE 3 BAR,2535 Dundas St W None M6P 1X6,likely_restaurant
10792913.0,AITAIKER TAIWANESE FRIED CHICKEN,5418 Yonge St Unit-21 M2N 6X4,likely_restaurant
10861008.0,AJ & ASHLEY'S NO FRILLS,1811 AVENUE RD None M5M 3Z3,likely_not_restaurant
10800320.0,AJISEN RAMEN,2359 Yonge St Flr-LOWER M4P 2C8,likely_restaurant
10861224.0,AJMAL'S NOFRILLS,2742 Eglinton Ave E None M1J 2C6,ambiguous
10834572.0,AKAMI SUSHI,825 Dundas St W None M6J 1V4,likely_restaurant
10797972.0,AKARA OSU GLOBAL,"2300 FINCH AVE W, Unit-51 None M9M 2Y3",ambiguous
10791821.0,AKI DONBURI,793 Bathurst St None M5S 1Z5,ambiguous
10827462.0,AKIN,51 Colborne St None M5E 1E3,ambiguous
10803662.0,AKIVA'S FOOD,6243 Bathurst St None M2R 2A5,ambiguous
10775361.0,AL ARSH HALAL MEAT,3715 Lawrence Ave E None M1G 1P7,ambiguous
10803994.0,AL BARAKA CONVENIENCE STORE & HALAL MEAT,1880 Weston Rd None M9N 1W1,likely_not_restaurant
10798546.0,AL BARAKAT SUPERMARKET,2008 Lawrence Ave E None M1R 2Z1,likely_not_restaurant
10813966.0,AL CHILE,1165 ST CLAIR AVE W None M6E 1B2,ambiguous
10859836.0,AL HERA HALAL FOOD MART,155 Morningside Ave Unit-5 M1E 3C8,likely_not_restaurant
10856082.0,AL JOOD,998 Queen St W None M6J 1H1,ambiguous
10819071.0,AL NASAR INC,111 Finchdene Sq Unit-2 M1X 1B5,ambiguous
10775645.0,AL PREMIUM FOODS,2525 ST CLAIR AVE W None M6N 4Z5,ambiguous
10839682.0,AL PREMIUM FOODS,799 Milner Ave None M1B 3C3,ambiguous
10843279.0,AL PREMIUM FOODS (INSIDE WALMART),1900 Eglinton Ave E None M1L 2L9,likely_not_restaurant
10774436.0,AL ZABIHA HALAL MEAT,2657 Islington Ave None M9V 2X6,ambiguous
10775812.0,AL' DEEWAN BAKERY & PIZZA,2067 Lawrence Ave E None M1R 2Z4,likely_restaurant
10772515.0,AL-JANNAH HALAL FOODS,"21 MILLIKEN BLVD, Unit-C1 None M1V 5H6",ambiguous
10846764.0,ALA ANTIOCH EXPRESS  CORP,424 Danforth Ave None M4K 1P3,ambiguous
10844927.0,ALADDIN SHAWARMA HOUSE,2022 Sheppard Ave E None M2J 5B3,likely_restaurant
10823869.0,ALBA CAFE,392 Browns Line None M8W 3T8,likely_restaurant
10826769.0,ALBAAQI SUPERMARKET,678 Kennedy Rd Unit-1-4 M1K 2B5,likely_not_restaurant
9000420.0,ALBATROS PUB,3057 Lake Shore Blvd W None M8V 1K6,likely_restaurant
10860827.0,ALBERTO GROCERY,472 SAMMON AVE None M4J 2B4,ambiguous
